# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
150           	smoothSolver	6.665180e-04	2.037950e-05	1	6.164720e-04	1.854090e-05	1	false	GAMG	2.866570e-03	1.860070e-04	3	true
151           	smoothSolver	6.644280e-04	2.031630e-05	1	6.152180e-04	1.850550e-05	1	false	GAMG	2.780850e-03	2.433770e-04	2	true
152           	smoothSolver	6.622680e-04	2.025210e-05	1	6.139830e-04	1.846950e-05	1	false	GAMG	2.790570e-03	1.833820e-04	3	true
153           	smoothSolver	6.602010e-04	2.019000e-05	1	6.127700e-04	1.843440e-05	1	false	GAMG	2.706820e-03	2.406120e-04	2	true
154           	smoothSolver	6.580570e-04	2.012660e-05	1	6.115260e-04	1.839880e-05	1	false	GAMG	2.718580e-03	1.805100e-04	3	true
155           	smoothSolver	6.559970e-04	2.006450e-05	1	6.103050e-04	1.836350e-05	1	false	GAMG	2.635990e-03	2.381140e-04	2	true
156           	smoothSolver	6.538660e-04	2.000090e-05	1	6.090700e-04	1.832740e-05	1	false	GAMG	2.649900e-03	1.775950e-04	3	true
157           	smoothSolver	6.518230e-04	1.993930e-05	1	6.078780e-04	1.829220e-05	1	false	GAMG	2.568460e-03	2.358300e-04	2	true
158           	smoothSolver	6.497260e-04	1.987700e-05	1	6.066660e-04	1.825710e-05	1	false	GAMG	2.583490e-03	1.748390e-04	3	true
159           	smoothSolver	6.477280e-04	1.981660e-05	1	6.054560e-04	1.822260e-05	1	false	GAMG	2.503690e-03	2.336900e-04	2	true
160           	smoothSolver	6.456700e-04	1.975500e-05	1	6.042080e-04	1.818730e-05	1	false	GAMG	2.520630e-03	1.722600e-04	3	true
161           	smoothSolver	6.437160e-04	1.969520e-05	1	6.029970e-04	1.815300e-05	1	false	GAMG	2.442580e-03	2.317660e-04	2	true
162           	smoothSolver	6.417060e-04	1.963500e-05	1	6.017930e-04	1.811800e-05	1	false	GAMG	2.460440e-03	1.697630e-04	3	true
163           	smoothSolver	6.397890e-04	1.957680e-05	1	6.006160e-04	1.808450e-05	1	false	GAMG	2.383410e-03	2.300170e-04	2	true
164           	smoothSolver	6.378110e-04	1.951770e-05	1	5.993940e-04	1.805000e-05	1	false	GAMG	2.402180e-03	1.673240e-04	3	true
165           	smoothSolver	6.359130e-04	1.946020e-05	1	5.982110e-04	1.801620e-05	1	false	GAMG	2.325980e-03	2.283290e-04	2	true
166           	smoothSolver	6.339790e-04	1.940180e-05	1	5.969950e-04	1.798140e-05	1	false	GAMG	2.345450e-03	1.649590e-04	3	true
167           	smoothSolver	6.321340e-04	1.934570e-05	1	5.958420e-04	1.794750e-05	1	false	GAMG	2.270020e-03	2.266330e-04	2	true
168           	smoothSolver	6.302270e-04	1.928860e-05	1	5.946440e-04	1.791350e-05	1	false	GAMG	2.290420e-03	1.626590e-04	3	true
169           	smoothSolver	6.284070e-04	1.923340e-05	1	5.934760e-04	1.788070e-05	1	false	GAMG	2.215840e-03	1.331960e-04	3	true
170           	smoothSolver	6.265680e-04	1.917820e-05	1	5.922920e-04	1.784790e-05	1	false	GAMG	2.178390e-03	1.165890e-04	3	true
171           	smoothSolver	6.247520e-04	1.912300e-05	1	5.910860e-04	1.781410e-05	1	false	GAMG	2.148120e-03	1.207520e-04	3	true
172           	smoothSolver	6.229420e-04	1.906820e-05	1	5.899170e-04	1.778100e-05	1	false	GAMG	2.122130e-03	1.258240e-04	3	true
173           	smoothSolver	6.211700e-04	1.901450e-05	1	5.887350e-04	1.774800e-05	1	false	GAMG	2.098380e-03	1.284060e-04	3	true
174           	smoothSolver	6.194070e-04	1.896100e-05	1	5.875650e-04	1.771560e-05	1	false	GAMG	2.075220e-03	1.273910e-04	3	true
175           	smoothSolver	6.176600e-04	1.890790e-05	1	5.863960e-04	1.768300e-05	1	false	GAMG	2.050300e-03	1.262940e-04	3	true
176           	smoothSolver	6.159260e-04	1.885480e-05	1	5.852450e-04	1.765040e-05	1	false	GAMG	2.025480e-03	1.245600e-04	3	true
177           	smoothSolver	6.142110e-04	1.880240e-05	1	5.841130e-04	1.761740e-05	1	false	GAMG	1.999920e-03	1.242740e-04	3	true
178           	smoothSolver	6.124950e-04	1.875020e-05	1	5.829850e-04	1.758510e-05	1	false	GAMG	1.975680e-03	1.232130e-04	3	true
179           	smoothSolver	6.108070e-04	1.869900e-05	1	5.818420e-04	1.755250e-05	1	false	GAMG	1.950670e-03	1.231890e-04	3	true
180           	smoothSolver	6.091180e-04	1.864800e-05	1	5.806960e-04	1.752010e-05	1	false	GAMG	1.927160e-03	1.220850e-04	3	true
181           	smoothSolver	6.074640e-04	1.859760e-05	1	5.795540e-04	1.748740e-05	1	false	GAMG	1.902580e-03	1.219790e-04	3	true
182           	smoothSolver	6.058090e-04	1.854740e-05	1	5.784400e-04	1.745530e-05	1	false	GAMG	1.879640e-03	1.208290e-04	3	true
183           	smoothSolver	6.041810e-04	1.849790e-05	1	5.773210e-04	1.742330e-05	1	false	GAMG	1.855420e-03	1.207370e-04	3	true
184           	smoothSolver	6.025550e-04	1.844850e-05	1	5.762050e-04	1.739170e-05	1	false	GAMG	1.833450e-03	1.196140e-04	3	true
185           	smoothSolver	6.009500e-04	1.839960e-05	1	5.750730e-04	1.736050e-05	1	false	GAMG	1.809560e-03	1.195500e-04	3	true
186           	smoothSolver	5.993540e-04	1.835080e-05	1	5.739610e-04	1.732940e-05	1	false	GAMG	1.789120e-03	1.184360e-04	3	true
